"V1","V2","V3","V4","V5"
"2","2010","Athens, GA, USA","3","4"
"-1","2010","Athens, GA, USA","5","10"
"-5","2010","Athens, GA, USA","4","12"
"1","2010","Athens, GA, USA","4","7"
"4","2010","Athens, GA, USA","12","19"
"-2","2010","Athens, GA, USA","4","10"
"-5","2010","Athens, GA, USA","3","10"
"-3","2010","Athens, GA, USA","2","6"
"-4","2010","Athens, GA, USA","-2","0"
"-4","2010","Athens, GA, USA","0","3"
"-8","2010","Athens, GA, USA","1","11"
"-1","2010","Athens, GA, USA","6","12"
"-1","2010","Athens, GA, USA","6","11"
"6","2010","Athens, GA, USA","12","17"
"9","2011","Athens, GA, USA","14","18"
"0","2011","Athens, GA, USA","8","15"
"-4","2011","Athens, GA, USA","3","10"
"-4","2011","Athens, GA, USA","6","14"
"0","2011","Athens, GA, USA","5","10"
"2","2011","Athens, GA, USA","6","10"
"0","2011","Athens, GA, USA","7","14"
"-4","2011","Athens, GA, USA","2","8"
"-9","2011","Athens, GA, USA","-3","2"
"-3","2011","Athens, GA, USA","-2","-2"
"-2","2011","Athens, GA, USA","-1","1"
"-6","2011","Athens, GA, USA","-3","0"
"-8","2011","Athens, GA, USA","-2","3"
"-9","2011","Athens, GA, USA","-1","7"
"-4","2011","Athens, GA, USA","3","10"
"-1","2011","Athens, GA, USA","7","14"
"-1","2011","Athens, GA, USA","3","7"
"3","2011","Athens, GA, USA","5","7"
"2","2011","Athens, GA, USA","7","13"
"-3","2011","Athens, GA, USA","5","13"
"-3","2011","Athens, GA, USA","3","8"
"-3","2011","Athens, GA, USA","2","7"
"-4","2011","Athens, GA, USA","3","9"
"1","2011","Athens, GA, USA","7","12"
"2","2011","Athens, GA, USA","3","5"
"0","2011","Athens, GA, USA","4","8"
"-3","2011","Athens, GA, USA","5","12"
"1","2011","Athens, GA, USA","8","15"
"-1","2011","Athens, GA, USA","10","21"
"5","2011","Athens, GA, USA","14","23"
"6","2011","Athens, GA, USA","9","12"
"4","2011","Athens, GA, USA","7","8"
"2","2011","Athens, GA, USA","5","8"
"-1","2011","Athens, GA, USA","3","6"
"1","2011","Athens, GA, USA","2","3"
"1","2011","Athens, GA, USA","6","11"
"-2","2011","Athens, GA, USA","6","13"
"-3","2011","Athens, GA, USA","4","10"
"-2","2011","Athens, GA, USA","4","9"
"-3","2011","Athens, GA, USA","2","8"
"-1","2011","Athens, GA, USA","4","8"
"-4","2011","Athens, GA, USA","3","10"
"-2","2011","Athens, GA, USA","6","14"
"-2","2011","Athens, GA, USA","8","18"
"3","2011","Athens, GA, USA","12","21"
"3","2011","Athens, GA, USA","10","17"
"2","2011","Athens, GA, USA","11","19"
"7","2011","Athens, GA, USA","15","22"
"6","2011","Athens, GA, USA","14","22"
"8","2011","Athens, GA, USA","16","24"
