"V1","V2","V3","V4","V5"
"6","2010","Knoxville, TN, USA","14","22"
"5","2010","Knoxville, TN, USA","13","21"
"4","2010","Knoxville, TN, USA","14","24"
"8","2010","Knoxville, TN, USA","16","24"
"9","2010","Knoxville, TN, USA","17","26"
"9","2010","Knoxville, TN, USA","16","21"
"7","2010","Knoxville, TN, USA","16","25"
"4","2010","Knoxville, TN, USA","13","22"
"3","2010","Knoxville, TN, USA","14","24"
"8","2010","Knoxville, TN, USA","18","27"
"15","2010","Knoxville, TN, USA","19","24"
"15","2010","Knoxville, TN, USA","22","29"
"14","2010","Knoxville, TN, USA","18","21"
"11","2010","Knoxville, TN, USA","17","23"
"4","2010","Knoxville, TN, USA","10","16"
"1","2010","Knoxville, TN, USA","11","21"
"8","2010","Knoxville, TN, USA","15","21"
"6","2010","Knoxville, TN, USA","13","21"
"9","2010","Knoxville, TN, USA","15","21"
"10","2010","Knoxville, TN, USA","13","16"
"7","2010","Knoxville, TN, USA","11","14"
"3","2010","Knoxville, TN, USA","6","9"
"-1","2010","Knoxville, TN, USA","4","8"
"-3","2010","Knoxville, TN, USA","4","12"
"-1","2010","Knoxville, TN, USA","9","18"
"1","2010","Knoxville, TN, USA","12","22"
"3","2010","Knoxville, TN, USA","13","22"
"3","2010","Knoxville, TN, USA","13","23"
"3","2010","Knoxville, TN, USA","13","22"
"4","2010","Knoxville, TN, USA","12","21"
"6","2010","Knoxville, TN, USA","9","13"
"9","2010","Knoxville, TN, USA","11","12"
"9","2010","Knoxville, TN, USA","14","20"
"5","2010","Knoxville, TN, USA","9","14"
"4","2010","Knoxville, TN, USA","10","16"
"4","2010","Knoxville, TN, USA","11","17"
"4","2010","Knoxville, TN, USA","11","17"
"7","2010","Knoxville, TN, USA","14","22"
"8","2010","Knoxville, TN, USA","16","23"
"7","2010","Knoxville, TN, USA","13","19"
"7","2010","Knoxville, TN, USA","11","15"
"12","2010","Knoxville, TN, USA","18","23"
"-1","2010","Knoxville, TN, USA","7","15"
"-3","2010","Knoxville, TN, USA","3","9"
"-2","2010","Knoxville, TN, USA","5","12"
"-2","2010","Knoxville, TN, USA","6","14"
"5","2010","Knoxville, TN, USA","11","17"
"-2","2010","Knoxville, TN, USA","2","6"
"-3","2010","Knoxville, TN, USA","1","5"
"-1","2010","Knoxville, TN, USA","5","11"
"3","2010","Knoxville, TN, USA","6","8"
"-1","2010","Knoxville, TN, USA","2","4"
"-6","2010","Knoxville, TN, USA","-2","1"
"-7","2010","Knoxville, TN, USA","-4","-1"
"-9","2010","Knoxville, TN, USA","-4","1"
"-8","2010","Knoxville, TN, USA","-1","6"
"-3","2010","Knoxville, TN, USA","4","10"
"2","2010","Knoxville, TN, USA","7","12"
"-5","2010","Knoxville, TN, USA","1","6"
"-9","2010","Knoxville, TN, USA","-6","-4"
"-12","2010","Knoxville, TN, USA","-7","-3"
"-12","2010","Knoxville, TN, USA","-7","-2"
"-3","2010","Knoxville, TN, USA","5","12"
"1","2010","Knoxville, TN, USA","2","4"
"-2","2010","Knoxville, TN, USA","2","5"
"-6","2010","Knoxville, TN, USA","-1","3"
"-7","2010","Knoxville, TN, USA","0","6"
"2","2010","Knoxville, TN, USA","3","4"
"-1","2010","Knoxville, TN, USA","5","11"
"-3","2010","Knoxville, TN, USA","1","4"
"-3","2010","Knoxville, TN, USA","1","6"
"-2","2010","Knoxville, TN, USA","1","3"
"-4","2010","Knoxville, TN, USA","-3","-2"
"-6","2010","Knoxville, TN, USA","-2","1"
